,ICC1,ICC2,ICC3,ICC1k,ICC2k,ICC3k
glcm_JointAverage_log-sigma-2-0-mm-3D,0.9875745730948596,0.9875749314785364,0.9876319035496635,0.9937484474427579,0.9937486288820213,0.9937774713576248
glcm_ClusterProminence_log-sigma-2-0-mm-3D,0.9988441765568811,0.9988441726315191,0.99883738820715,0.9994217541033589,0.9994217521384074,0.9994183559904826
glcm_ClusterShade_log-sigma-2-0-mm-3D,0.9955253126063722,0.9955253349368716,0.9955352711839718,0.9977576393717685,0.9977576505871472,0.9977626409913671
glcm_ClusterTendency_log-sigma-2-0-mm-3D,0.9978644369813566,0.9978644225584953,0.9978509442714953,0.9989310771145864,0.9989310698877304,0.9989243162836213
glcm_Contrast_log-sigma-2-0-mm-3D,0.9975016303293187,0.9975016405796886,0.9975098257932988,0.998749252750162,0.9987492578881756,0.998753360722162
glcm_Correlation_log-sigma-2-0-mm-3D,0.9871890467568445,0.9871890799446255,0.9871941947529054,0.9935532287358048,0.9935532455443387,0.9935558360220115
glcm_DifferenceAverage_log-sigma-2-0-mm-3D,0.9945895261136446,0.994589436236096,0.9945563935518085,0.9972874248984465,0.9972873797155398,0.9972707683443847
glcm_DifferenceEntropy_log-sigma-2-0-mm-3D,0.9843960936452943,0.9843955540862922,0.9843274810357098,0.9921366977063326,0.9921364236673607,0.9921018485536923
glcm_DifferenceVariance_log-sigma-2-0-mm-3D,0.996572949099688,0.9965729438279416,0.9965698778308552,0.9982835333405387,0.9982835306956089,0.9982819924274969
glcm_JointEnergy_log-sigma-2-0-mm-3D,0.9675487094819493,0.9675504581234001,0.967654742493362,0.9835067409708016,0.9835076443693599,0.9835615177764109
glcm_JointEntropy_log-sigma-2-0-mm-3D,0.9837772858340992,0.9837768928481557,0.9837292322956102,0.9918223107595066,0.9918221110396379,0.9917978888249981
glcm_Imc1_log-sigma-2-0-mm-3D,0.9519579428740053,0.9519513877011623,0.9516916776132527,0.975387760119842,0.9753843191989402,0.9752479743901843
glcm_Imc2_log-sigma-2-0-mm-3D,0.9862195858329268,0.986219549523473,0.9862143524511547,0.9930619885810388,0.9930619701735223,0.9930593354479427
glcm_Idm_log-sigma-2-0-mm-3D,0.984126002475466,0.98412547075672,0.9840595462273685,0.9919995012893692,0.9919992311588915,0.9919657382244692
glcm_Idmn_log-sigma-2-0-mm-3D,0.9128752737399013,0.9129274375209585,0.9140219337008043,0.9544535247769922,0.9544820358727863,0.9550798949660126
glcm_Id_log-sigma-2-0-mm-3D,0.9844315887453692,0.9844310873015486,0.9843676761955429,0.9921547251399713,0.9921544704686005,0.9921222644412211
glcm_Idn_log-sigma-2-0-mm-3D,0.9642288828482888,0.9642380037253776,0.9647299751384936,0.9817887225546544,0.9817934505865399,0.9820484110754099
glcm_InverseVariance_log-sigma-2-0-mm-3D,0.9745552555641944,0.9745565121672899,0.9746527797248605,0.9871136832640649,0.9871143278625218,0.9871637076981852
glcm_MaximumProbability_log-sigma-2-0-mm-3D,0.9756231643367155,0.975622811781641,0.9755945923007419,0.9876611916162318,0.9876610109617152,0.9876465506666344
glcm_SumEntropy_log-sigma-2-0-mm-3D,0.9839591784014844,0.9839589932235895,0.9839362757777126,0.9919147421110549,0.991914648018835,0.9919031047426207
gldm_DependenceEntropy_log-sigma-2-0-mm-3D,0.9708332971288124,0.9708320381526637,0.9707482337625627,0.9852008270239402,0.9852001787657783,0.9851570252677129
gldm_DependenceNonUniformity_log-sigma-2-0-mm-3D,0.9995020553034607,0.999502059070273,0.9995171812060434,0.9997509656490632,0.9997509675334075,0.9997585323104524
gldm_DependenceNonUniformityNormalized_log-sigma-2-0-mm-3D,0.9980435551763827,0.9980435462360268,0.9980344248105221,0.9990208197321081,0.9990208152531717,0.9990162455836243
gldm_DependenceVariance_log-sigma-2-0-mm-3D,0.9922420728854406,0.992241875010566,0.992191261046729,0.9961059314928917,0.9961058317834058,0.9960803266704582
gldm_GrayLevelNonUniformity_log-sigma-2-0-mm-3D,0.9991262453416121,0.9991262523403921,0.9991422586110497,0.9995629317255856,0.9995629352280352,0.9995709452965361
gldm_GrayLevelVariance_log-sigma-2-0-mm-3D,0.9974893535592925,0.997489334814238,0.9974744400744724,0.9987430989625883,0.9987430895664855,0.9987356234078102
gldm_HighGrayLevelEmphasis_log-sigma-2-0-mm-3D,0.9947855233878476,0.994785460644741,0.9947615217405045,0.9973859462328079,0.9973859146970253,0.9973738824403807
gldm_LargeDependenceEmphasis_log-sigma-2-0-mm-3D,0.9742296896734822,0.9742312841164251,0.974351852973865,0.9869466504017677,0.986947468571238,0.9870093332211771
gldm_LargeDependenceHighGrayLevelEmphasis_log-sigma-2-0-mm-3D,0.9704163645489665,0.9704153741588877,0.9703504040902157,0.9849860993933608,0.9849855892168213,0.9849521202684379
gldm_LargeDependenceLowGrayLevelEmphasis_log-sigma-2-0-mm-3D,0.9446373287415182,0.9446570834950091,0.9453317183939295,0.9715305931649939,0.971541040847404,0.9718977071678013
gldm_LowGrayLevelEmphasis_log-sigma-2-0-mm-3D,0.9158520972640538,0.9158834999635981,0.9165675977473363,0.9560780799018285,0.9560951905280254,0.9564678009005646
gldm_SmallDependenceEmphasis_log-sigma-2-0-mm-3D,0.9941539986970729,0.9941539011114205,0.9941207119576831,0.997068430368594,0.9970683812892671,0.9970516889940203
gldm_SmallDependenceHighGrayLevelEmphasis_log-sigma-2-0-mm-3D,0.9954167483152181,0.995416740027999,0.9954131403099256,0.9977031105463801,0.9977031063837138,0.9977012982437501
gldm_SmallDependenceLowGrayLevelEmphasis_log-sigma-2-0-mm-3D,0.8683271695137388,0.8682909454316159,0.8678134627797002,0.9295236762410669,0.9295029208965327,0.9292292619930159
glrlm_GrayLevelNonUniformity_log-sigma-2-0-mm-3D,0.9995133135265593,0.9995133152015417,0.9995201951084821,0.9997565975329354,0.9997565983708344,0.999760039987247
glrlm_GrayLevelNonUniformityNormalized_log-sigma-2-0-mm-3D,0.9676865944667418,0.9676880486804093,0.9677751550583594,0.9835779713984302,0.9835787225819357,0.9836237159216065
